year,date,name,acres,latitude,longitude,burn_type,treatment_type,county_unit_ID,county,source,escaped
2016,2016-02-02,BEAR MEADOW RX FY16,317.699707,38.98510798,-122.3745363,,,CDD,,CALFIRE,TRUE
2018,2018-02-06,BURROWS/JOACHIM 1,181.537323,40.05209622,-122.5969402,,,TGU,Tehama-Glenn,CALFIRE,TRUE
2018,2018-03-21,2018 - Broadcast Burning,6311.957031,38.4263139,-120.4432685,,,TCU,Tuolumne-Calaveras,CALFIRE,TRUE
2018,2018-05-01,Ordway VMP Burning,496.3656616,41.48216131,-122.3936623,,,SKU,Siskiyou,CALFIRE,TRUE
2018,2018-06-11,HREC Foster Burn 2018,217.9431915,39.00326174,-123.0974753,,,MEU,Mendocino,CALFIRE,TRUE
2018,2018-09-01,2018 - Broadcast Burn,358.1175232,37.8004051,-120.2731484,,,TCU,Tuolumne-Calaveras,CALFIRE,TRUE
2018,2018-10-23,2018 Ely Rx,742.2468872,37.16843728,-119.2729162,,,FKU,Fresno-Kings,CALFIRE,TRUE
2018,2018-03-01,LP UNIT 12 34 AC,334.5049133,32.87028616,-116.4369141,,,CNF,,CALFIRE,TRUE
2018,2018-02-15,GREEN MOUNTAIN BLOCK I,2988.210205,40.77516628,-122.1586159,,,SNF,,CALFIRE,TRUE
2018,2018-02-01,PALOMAR FB UNIT 5 - 89 AC,330.3757019,33.36639266,-116.8547043,,,CNF,,CALFIRE,TRUE
2018,2018-10-24,HILLBILLY UB UNIT 8,170.190033,39.4200443,-120.2034884,,,TNF,,CALFIRE,TRUE
2018,2018-06-20,HANNING FLAT,248.4585114,35.69083637,-118.4248825,,,SQF,,CALFIRE,TRUE
2018,2018-04-06,LOOKOUT 2018 BURN UNIT 1,154.8032379,34.79516164,-118.9955932,,,LPF,,CALFIRE,TRUE
2018,2018-11-15,DINKEY SOUTH RX DS1,416.6152954,37.04862438,-119.1423502,,,SHF,,CALFIRE,TRUE
2018,2018-01-23,BUCK WILDFIRE BENEFIT MA 20,11341.55859,40.21348626,-123.0234313,,,SNF,,CALFIRE,TRUE
2018,2018-02-06,REVISED ICE BURN UNITS 9B,644.2939453,35.7229011,-118.5394165,,,SQF,,CALFIRE,TRUE
2018,2018-01-30,RUSH UNIT 7,515.2514648,37.0324165,-119.2892431,,,SHF,,CALFIRE,TRUE
2018,2018-04-06,"POWER FIRE RXBURN UNIT 6, 597 ACR*",1429.431396,38.49851113,-120.2931991,,,ENF,,CALFIRE,TRUE
2018,2018-09-01,NUTMEG UNDERBURN,1061.366699,37.61355715,-119.8667102,,,SHF,,CALFIRE,TRUE
2018,2018-04-25,UNIT 18D,176.1729431,39.99541776,-120.8628683,,,PNF,,CALFIRE,TRUE
2018,2018-05-15,BRUSH CREEK UNDERBURN,501.3193665,39.67339348,-121.3457023,,,PNF,,CALFIRE,TRUE
2018,2018-02-14,2017 FORK WILDFIRE BENEFIT MA 14,3232.062256,40.84373661,-123.0079036,,,SNF,,CALFIRE,TRUE
2018,2018-06-01,DINKEY SOUTH ROCK CREEK SEGMENT 1,840.4588013,37.06925451,-119.1662121,,,SHF,,CALFIRE,TRUE
2019,2019-01-27,Lunardi Rx Burn,1023.262146,39.72797101,-123.2245797,,,MEU,Mendocino,CALFIRE,TRUE
2019,2019-04-24,Lunardi Rx Burn,1023.262146,39.72797101,-123.2245797,,,MEU,Mendocino,CALFIRE,TRUE
2019,2019-01-27,2019 Shamrock Burn,4289.54834,39.6550788,-123.4186948,,,MEU,Mendocino,CALFIRE,TRUE
2019,2019-11-08,2019 Hunt VMP,484.3543091,40.49944686,-123.8005179,,,HUU,Humboldt-Del Norte,CALFIRE,TRUE
2019,2019-06-05,2019 C-234 Burn,412.9918213,39.01083218,-122.1614741,,,LNU,Sonoma-Lake-Napa,CALFIRE,TRUE
2019,2019-10-15,OCT_2019,741.9807129,39.52229665,-121.445103,,,BTU,Butte,CALFIRE,TRUE
2019,2019-06-01,Hog Flat Rx,157.6974335,40.43700008,-120.840052,,,LMU,Lassen-Modoc,CALFIRE,TRUE
